Grand Prix,Date,Winner First Name,Winner Last Name,Winner Short Name,Car,Team,Laps,Time,Winner,Year
United States,11 Mar 1990,Ayrton,Senna,SEN,McLaren Honda,McLaren,72,1:52:32.829,Ayrton Senna,1990
Brazil,25 Mar 1990,Alain,Prost,PRO,Ferrari,Ferrari,71,1:37:21.258,Alain Prost,1990
San Marino,13 May 1990,Riccardo,Patrese,PAT,Williams Renault,Williams,61,1:30:55.478,Riccardo Patrese,1990
Monaco,27 May 1990,Ayrton,Senna,SEN,McLaren Honda,McLaren,78,1:52:46.982,Ayrton Senna,1990
Canada,10 Jun 1990,Ayrton,Senna,SEN,McLaren Honda,McLaren,70,1:42:56.400,Ayrton Senna,1990
Mexico,24 Jun 1990,Alain,Prost,PRO,Ferrari,Ferrari,69,1:32:35.783,Alain Prost,1990
France,08 Jul 1990,Alain,Prost,PRO,Ferrari,Ferrari,80,1:33:29.606,Alain Prost,1990
Great Britain,15 Jul 1990,Alain,Prost,PRO,Ferrari,Ferrari,64,1:18:30.999,Alain Prost,1990
Germany,29 Jul 1990,Ayrton,Senna,SEN,McLaren Honda,McLaren,45,1:20:47.164,Ayrton Senna,1990
Hungary,12 Aug 1990,Thierry,Boutsen,BOU,Williams Renault,Williams,77,1:49:30.597,Thierry Boutsen,1990
Belgium,26 Aug 1990,Ayrton,Senna,SEN,McLaren Honda,McLaren,44,1:26:31.997,Ayrton Senna,1990
Italy,09 Sep 1990,Ayrton,Senna,SEN,McLaren Honda,McLaren,53,1:17:57.878,Ayrton Senna,1990
Portugal,23 Sep 1990,Nigel,Mansell,MAN,Ferrari,Ferrari,61,1:22:11.014,Nigel Mansell,1990
Spain,30 Sep 1990,Alain,Prost,PRO,Ferrari,Ferrari,73,1:48:01.461,Alain Prost,1990
Japan,21 Oct 1990,Nelson,Piquet,PIQ,Benetton Ford,Benetton,53,1:34:36.824,Nelson Piquet,1990
Australia,04 Nov 1990,Nelson,Piquet,PIQ,Benetton Ford,Benetton,81,1:49:44.570,Nelson Piquet,1990
United States,10 Mar 1991,Ayrton,Senna,SEN,McLaren Honda,McLaren,81,2:00:47.828,Ayrton Senna,1991
Brazil,24 Mar 1991,Ayrton,Senna,SEN,McLaren Honda,McLaren,71,1:38:28.128,Ayrton Senna,1991
San Marino,28 Apr 1991,Ayrton,Senna,SEN,McLaren Honda,McLaren,61,1:35:14.750,Ayrton Senna,1991
Monaco,12 May 1991,Ayrton,Senna,SEN,McLaren Honda,McLaren,78,1:53:02.334,Ayrton Senna,1991
Canada,02 Jun 1991,Nelson,Piquet,PIQ,Benetton Ford,Benetton,69,1:38:51.490,Nelson Piquet,1991
Mexico,16 Jun 1991,Riccardo,Patrese,PAT,Williams Renault,Williams,67,1:29:52.205,Riccardo Patrese,1991
France,07 Jul 1991,Nigel,Mansell,MAN,Williams Renault,Williams,72,1:38:00.056,Nigel Mansell,1991
Great Britain,14 Jul 1991,Nigel,Mansell,MAN,Williams Renault,Williams,59,1:27:35.479,Nigel Mansell,1991
Germany,28 Jul 1991,Nigel,Mansell,MAN,Williams Renault,Williams,45,1:19:29.661,Nigel Mansell,1991
Hungary,11 Aug 1991,Ayrton,Senna,SEN,McLaren Honda,McLaren,77,1:49:12.796,Ayrton Senna,1991
Belgium,25 Aug 1991,Ayrton,Senna,SEN,McLaren Honda,McLaren,44,1:27:17.669,Ayrton Senna,1991
Italy,08 Sep 1991,Nigel,Mansell,MAN,Williams Renault,Williams,53,1:17:54.319,Nigel Mansell,1991
Portugal,22 Sep 1991,Riccardo,Patrese,PAT,Williams Renault,Williams,71,1:35:42.304,Riccardo Patrese,1991
Spain,29 Sep 1991,Nigel,Mansell,MAN,Williams Renault,Williams,65,1:38:41.541,Nigel Mansell,1991
Japan,20 Oct 1991,Gerhard,Berger,BER,McLaren Honda,McLaren,53,1:32:10.695,Gerhard Berger,1991
Australia,03 Nov 1991,Ayrton,Senna,SEN,McLaren Honda,McLaren,14,24:34.899,Ayrton Senna,1991
South Africa,01 Mar 1992,Nigel,Mansell,MAN,Williams Renault,Williams,72,1:36:45.320,Nigel Mansell,1992
Mexico,22 Mar 1992,Nigel,Mansell,MAN,Williams Renault,Williams,69,1:31:53.587,Nigel Mansell,1992
Brazil,05 Apr 1992,Nigel,Mansell,MAN,Williams Renault,Williams,71,1:36:51.856,Nigel Mansell,1992
Spain,03 May 1992,Nigel,Mansell,MAN,Williams Renault,Williams,65,1:56:10.674,Nigel Mansell,1992
San Marino,17 May 1992,Nigel,Mansell,MAN,Williams Renault,Williams,60,1:28:40.927,Nigel Mansell,1992
Monaco,31 May 1992,Ayrton,Senna,SEN,McLaren Honda,McLaren,78,1:50:59.372,Ayrton Senna,1992
Canada,14 Jun 1992,Gerhard,Berger,BER,McLaren Honda,McLaren,69,1:37:08.299,Gerhard Berger,1992
